"participant","prompt","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","dimension","slider_response"
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder cotton</p>","baddercotton-p08-is","p08","baddercotton","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,2,"gender",0.168
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p06-cs","p06","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cs","TRAPConservative","tInnovative",FALSE,2,"gender",0.554
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom dagger</p>","bottomdagger-p08-rc","p08","bottomdagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","rc","tConservative","TRAPConservative",TRUE,2,"gender",0.093
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton button</p>","cottonbutton-p01-ss","p01","cottonbutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","ss","tInnovative","tInnovative",TRUE,2,"gender",0.843
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p01-cr","p01","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,2,"gender",0.89
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dotty garter</p>","dottygarter-p04-sr","p04","dottygarter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,2,"gender",0.698
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom baggy</p>","bottombaggy-p08-si","p08","bottombaggy","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,2,"gender",0.113
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dotty butter</p>","dottybutter-p05-rs","p05","dottybutter","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","rs","tConservative","tInnovative",FALSE,2,"gender",0.428
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p01-cs","p01","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cs","TRAPConservative","tInnovative",FALSE,2,"gender",0.745
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton cabin</p>","cottoncabin-p07-rc","p07","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","rc","tConservative","TRAPConservative",TRUE,2,"gender",0.322
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dapper cabin</p>","dappercabin-p04-ci","p04","dappercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"gender",0.582
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton button</p>","cottonbutton-p05-rr","p05","cottonbutton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,2,"gender",0.564
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton cabin</p>","cottoncabin-p01-ri","p01","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ri","tConservative","TRAPInnovative",FALSE,2,"gender",0.769
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom baggy</p>","bottombaggy-p06-rc","p06","bottombaggy","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","rc","tConservative","TRAPConservative",TRUE,2,"gender",0.612
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder dagger</p>","badderdagger-p05-ci","p05","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"gender",0.533
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>party button</p>","partybutton-p08-ss","p08","partybutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","ss","tInnovative","tInnovative",TRUE,2,"gender",0.05
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p04-is","p04","cabingutter","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,2,"gender",0.673
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dotty dagger</p>","dottydagger-p05-sc","p05","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","sc","tInnovative","TRAPConservative",FALSE,2,"gender",0.436
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom cotton</p>","bottomcotton-p06-sr","p06","bottomcotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,2,"gender",0.574
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>party cotton</p>","partycotton-p01-rr","p01","partycotton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,2,"gender",0.768
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton button</p>","cottonbutton-p07-rs","p07","cottonbutton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","rs","tConservative","tInnovative",FALSE,2,"gender",0.545
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin tagger</p>","cabintagger-p05-ii","p05","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"gender",0.592
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dapper cabin</p>","dappercabin-p04-ic","p04","dappercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"gender",0.622
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder cotton</p>","baddercotton-p08-cs","p08","baddercotton","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cs","TRAPConservative","tInnovative",FALSE,2,"gender",0.157
