Filename,Mean_F0_(Hz),experiment
p_06-20240604-1115-29.wav,150.88,vowels_only
p_06-20240604-1115-30.wav,199.45,vowels_only
p_06-20240604-1115-31.wav,150.84,vowels_only
p_06-20240604-1115-32.wav,118.23,vowels_only
p_06-20240604-1115-33.wav,132.87,vowels_only
p_06-20240604-1115-34.wav,189.89,vowels_only
p_06-20240604-1115-35.wav,134.11,vowels_only
p_06-20240604-1115-36.wav,98.68,vowels_only
p_06-20240604-1115-37.wav,92.57,vowels_only
p_06-20240604-1115-38.wav,151.65,vowels_only
p_06-20240604-1115-39.wav,106.49,vowels_only
p_06-20240604-1115-40.wav,106.21,vowels_only
p_06-20240604-1115-41.wav,105.38,vowels_only
p_06-20240604-1115-42.wav,227.58,vowels_only
p_06-20240604-1115-43.wav,102.83,vowels_only
p_06-20240604-1115-44.wav,136.36,vowels_only
p_06-20240604-1115-45.wav,107.27,vowels_only
p_06-20240604-1115-46.wav,101.62,vowels_only
p_06-20240604-1115-47.wav,119.57,vowels_only
p_06-20240604-1115-48.wav,141.59,vowels_only
